Assemblage,Site,Depth,Period,Order.q,SC,m,Method,qFD,s.e.,qFD.LCL,qFD.UCL
CV_25_40m_2014_2015,Coral View,25_40,2014_2015,0,0.9715554,340.1163248,Rarefaction,10.08043499,0.482134205,9.135469315,11.02540067
CV_25_40m_2022_2023,Coral View,25_40,2022_2023,0,0.9715554,218.2072137,Extrapolation,7.392879235,0.564346835,6.286779762,8.498978707
CV_5_15m_2014_2015,Coral View,5_15,2014_2015,0,0.9715554,468.6472197,Rarefaction,9.660795526,0.179035812,9.309891783,10.01169927
CV_5_15m_2022_2023,Coral View,5_15,2022_2023,0,0.9715554,473.0108045,Rarefaction,9.177856294,0.294271543,8.601094667,9.75461792
LB_25_40m_2014_2015,Little Bight,25_40,2014_2015,0,0.9715554,494.9699485,Rarefaction,10.15558979,0.382501646,9.405900337,10.90527924
LB_25_40m_2022_2023,Little Bight,25_40,2022_2023,0,0.9715554,509.9991818,Extrapolation,9.312167135,3.814265369,1.836344384,16.78798989
LB_5_15m_2014_2015,Little Bight,5_15,2014_2015,0,0.9715554,434.1441463,Rarefaction,8.796914532,0.132779451,8.53667159,9.057157473
LB_5_15m_2022_2023,Little Bight,5_15,2022_2023,0,0.9715554,435.1438643,Rarefaction,8.808120781,0.316745051,8.187311889,9.428929672
RC_25_40m_2014_2015,Raggedy Cay,25_40,2014_2015,0,0.9715554,431.825238,Rarefaction,7.778675692,1.270843079,5.287869027,10.26948236
RC_25_40m_2022_2023,Raggedy Cay,25_40,2022_2023,0,0.9715554,432.0937491,Rarefaction,8.587519418,0.28793306,8.023180991,9.151857845
RC_5_15m_2014_2015,Raggedy Cay,5_15,2014_2015,0,0.9715554,320.7016693,Rarefaction,7.550413024,0.327025218,6.909455375,8.191370673
RC_5_15m_2022_2023,Raggedy Cay,5_15,2022_2023,0,0.9715554,376.3046139,Rarefaction,7.985103243,0.165574746,7.660582703,8.309623783
